بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"2,399,800,000","2,399,800,000","2,420,100,000","2,420,100,000",70150000,2.99%,2026/09/09,1405/06/18
"2,300,100,000","2,349,950,000","2,350,100,000","2,349,950,000",49900000,2.17%,2026/09/08,1405/06/17
"2,329,900,000","2,289,800,000","2,330,100,000","2,300,050,000",39850000,1.73%,2026/09/07,1405/06/16
"2,379,950,000","2,345,049,059","2,385,100,000","2,339,900,000",35050000,1.5%,2026/09/06,1405/06/15
"2,350,050,000","2,349,800,000","2,375,100,000","2,374,950,000",34850000,1.49%,2026/09/05,1405/06/14
"2,349,850,000","2,339,800,000","2,350,100,000","2,340,100,000",60200000,2.64%,2026/09/03,1405/06/12
"2,229,800,000","2,229,800,000","2,280,100,000","2,279,900,000",64850000,2.93%,2026/09/02,1405/06/11
"2,220,050,000","2,209,800,000","2,220,100,000","2,215,050,000",20050000,0.91%,2026/09/01,1405/06/10
"2,200,100,000","2,194,800,000","2,235,100,000","2,235,100,000",55000000,2.52%,2026/08/31,1405/06/09
"2,174,850,000","2,169,800,000","2,180,100,000","2,180,100,000",20000000,0.93%,2026/08/29,1405/06/07
"2,150,100,000","2,139,800,000","2,160,100,000","2,160,100,000",-,-,2026/08/27,1405/06/05
"2,150,050,000","2,099,800,000","2,160,100,000","2,160,100,000",10000000,0.47%,2026/08/26,1405/06/04
"2,239,900,000","2,129,800,000","2,240,100,000","2,150,100,000",69950000,3.25%,2026/08/25,1405/06/03
"2,230,250,000","2,219,800,000","2,250,400,000","2,220,050,000",39650000,1.82%,2026/08/24,1405/06/02
"2,170,250,000","2,160,100,000","2,190,400,000","2,180,400,000",90200000,4.32%,2026/08/23,1405/06/01
"2,060,200,000","2,045,100,000","2,090,400,000","2,090,200,000",94800000,4.75%,2026/08/22,1405/05/31
"1,995,100,000","1,995,100,000","1,995,400,000","1,995,400,000",15200000,0.77%,2026/08/20,1405/05/29
"1,935,250,000","1,935,100,000","1,980,400,000","1,980,200,000",60100000,3.13%,2026/08/19,1405/05/28
"1,905,200,000","1,905,100,000","1,920,400,000","1,920,100,000",15000000,0.79%,2026/08/18,1405/05/27
"1,900,150,000","1,895,100,000","1,905,400,000","1,905,100,000",15000000,0.79%,2026/08/17,1405/05/26
"1,889,850,000","1,889,800,000","1,890,400,000","1,890,100,000",50000,-,2026/08/16,1405/05/25
"1,924,950,000","1,889,800,000","1,925,100,000","1,890,050,000",4800000,0.25%,2026/08/15,1405/05/24
