بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"4,356.42","4,342.19","4,432.77","4,413.88",55.41,1.27%,2026/09/09,1405/06/18
"4,413.67","4,356.55","4,441.71","4,358.47",46.51,1.07%,2026/09/08,1405/06/17
"4,422.83","4,381.36","4,433.87","4,404.98",27.58,0.63%,2026/09/07,1405/06/16
"4,429.31","4,428.79","4,432.56","4,432.56",2.96,0.07%,2026/09/05,1405/06/14
"4,472.11","4,376.28","4,489.29","4,429.60",42.31,0.96%,2026/09/04,1405/06/13
"4,387.52","4,382.20","4,510.20","4,471.91",84.82,1.93%,2026/09/03,1405/06/12
"4,326.06","4,284.63","4,393.94","4,387.09",58.38,1.35%,2026/09/02,1405/06/11
"4,447.96","4,324.94","4,460.40","4,328.71",118.4,2.74%,2026/09/01,1405/06/10
"4,442.11","4,401.52","4,468.94","4,447.11",6.97,0.16%,2026/08/31,1405/06/09
"4,456.30","4,453.12","4,458.43","4,454.08",0.08,-,2026/08/29,1405/06/07
"4,603.46","4,448.86","4,624.85","4,454",148.86,3.34%,2026/08/28,1405/06/06
"4,608.75","4,570","4,616.04","4,602.86",7.91,0.17%,2026/08/27,1405/06/05
"4,663.19","4,604.31","4,673.24","4,610.77",53.31,1.16%,2026/08/26,1405/06/04
"4,648.53","4,608.39","4,695.68","4,664.08",14.41,0.31%,2026/08/25,1405/06/03
"4,622.07","4,601.43","4,679.86","4,649.67",42.32,0.92%,2026/08/24,1405/06/02
"4,610.35","4,603","4,610.72","4,607.35",3.64,0.08%,2026/08/22,1405/05/31
"4,519.32","4,469.90","4,630.45","4,610.99",90.52,2%,2026/08/21,1405/05/30
"4,523.07","4,453.28","4,536.34","4,520.47",0.46,0.01%,2026/08/20,1405/05/29
"4,338.83","4,325.82","4,520.92","4,520.01",182.8,4.21%,2026/08/19,1405/05/28
"4,415.07","4,335.02","4,433.49","4,337.21",78.16,1.8%,2026/08/18,1405/05/27
"4,378.38","4,368.17","4,427.66","4,415.37",39.87,0.91%,2026/08/17,1405/05/26
"4,374.17","4,373.83","4,376.13","4,375.50",1.18,0.03%,2026/08/15,1405/05/24
"4,349.08","4,312.82","4,394.40","4,374.32",22.61,0.52%,2026/08/14,1405/05/23
"4,407.07","4,343.68","4,441.33","4,351.71",56.45,1.3%,2026/08/13,1405/05/22
"4,369.85","4,364.66","4,436.95","4,408.16",37.79,0.86%,2026/08/12,1405/05/21
"4,391.21","4,357.39","4,434.75","4,370.37",18.4,0.42%,2026/08/11,1405/05/20
"4,391.21","4,314.22","4,393.77","4,388.77",-,-,2026/08/10,1405/05/19
"4,340","4,337.43","4,343.43","4,343.43",6.04,0.14%,2026/08/08,1405/05/17
"4,240.96","4,219.90","4,370.37","4,337.39",95.18,2.24%,2026/08/07,1405/05/16
"4,247.58","4,225.06","4,303.2450","4,242.21",3.815,0.09%,2026/08/06,1405/05/15
"4,077.48","4,077.48","4,265.75","4,246.0250",169.655,4.16%,2026/08/05,1405/05/14
"4,057.46","4,043.59","4,104.3150","4,076.37",22.06,0.54%,2026/08/04,1405/05/13
"4,072.63","4,025.6250","4,078.5750","4,054.31",9.145,0.23%,2026/08/03,1405/05/12
"4,050.64","4,044.2850","4,052.3450","4,045.1650",2.04,0.05%,2026/08/01,1405/05/10
"4,106.9250","4,021.98","4,111.68","4,047.2050",65.455,1.62%,2026/07/31,1405/05/09
"4,062.5550","4,030.06","4,118.61","4,112.66",55.35,1.36%,2026/07/30,1405/05/08
"4,029.0950","3,998.8750","4,116.0950","4,057.31",29.905,0.74%,2026/07/29,1405/05/07
"4,077.7750","4,013.2650","4,081.0950","4,027.4050",51.04,1.27%,2026/07/28,1405/05/06
"4,089.20","4,065.83","4,115.6950","4,078.4450",25.6,0.63%,2026/07/27,1405/05/05
"4,054.40","4,052.5650","4,056.25","4,052.8450",0.795,0.02%,2026/07/25,1405/05/03
"4,049.6850","4,022.3150","4,081.6950","4,053.64",4.43,0.11%,2026/07/24,1405/05/02
"4,134.2450","4,040.5250","4,141.03","4,049.21",87.875,2.17%,2026/07/23,1405/05/01
"4,008.29","4,008.29","4,166","4,137.0850",61.265,1.5%,2026/07/22,1405/04/31
"4,063.65","4,048.56","4,082.71","4,075.82",67.53,1.68%,2026/07/21,1405/04/30
"4,007.98","3,994.05","4,034.43","4,008.29",9.31,0.23%,2026/07/20,1405/04/29
